alpha,mean_tau,median_tau,std_tau,mean_tau_frac,median_tau_frac,p25_tau_frac,p75_tau_frac,n_abstained,seed,dataset_key
0.7,23.664186675684817,8.0,37.298708034251455,0.15916123583818736,0.05434782608695652,0.006666666666666667,0.21212121212121213,2957,4,gsm8k_qwen
0.8,15.470553418171056,4.0,29.192647361584665,0.11923738746058692,0.028037383177570093,0.0,0.11661818593932984,3379,4,gsm8k_qwen
0.9,7.341225993159695,0.0,19.336402358400985,0.06617945356873721,0.0,0.0,0.04424778761061947,3801,4,gsm8k_qwen
0.1,239.5,146.5,225.71358038534228,0.3576521505107981,0.29122150997151,0.13672271638032574,0.5421159485675615,216,0,olympiadMath_phi3
0.2,225.32638888888889,137.0,238.27166538606465,0.3312441076064425,0.26732613908872904,0.09424330697738938,0.5172175673015404,432,0,olympiadMath_phi3
0.3,206.88888888888889,113.0,229.1356140577663,0.30951159213883545,0.2254806864489468,0.07378795721187026,0.5083645396000853,648,0,olympiadMath_phi3
0.4,198.96527777777777,107.0,230.5102154840766,0.2916628579338863,0.19482924153065423,0.05869305897263848,0.48790983106694463,864,0,olympiadMath_phi3
0.5,171.77407407407406,88.0,208.06041874024208,0.2603301583139436,0.15519490217553641,0.03532056492582808,0.43505741095399253,1080,0,olympiadMath_phi3
0.6,129.98070987654322,53.0,171.55669463349471,0.2130801771348516,0.1024620726620214,0.0159938535736302,0.33116867862969,1296,0,olympiadMath_phi3
0.7,91.89814814814815,21.0,140.93831983023867,0.16618300188269441,0.039071002329980786,0.003906294530047688,0.22376409511369394,1512,0,olympiadMath_phi3
0.8,69.78530092592592,7.0,121.75003171971676,0.13895351210950663,0.013868853429207632,0.0007275149316416818,0.17638217611693977,1728,0,olympiadMath_phi3
0.9,35.857510288065846,1.0,75.26680092973525,0.0864842379322659,0.0029806325515280736,0.0,0.0635781918803234,1944,0,olympiadMath_phi3
0.1,330.86574074074076,273.0,253.6945077662258,0.4538785579514119,0.40153515158917313,0.23258397932816538,0.6736828531072084,216,1,olympiadMath_phi3
0.2,294.21527777777777,202.5,260.84303753321166,0.4025756199849796,0.37234756916465217,0.15600550565053609,0.6253033980582524,432,1,olympiadMath_phi3
0.3,255.61111111111111,181.5,233.71706541599968,0.35653540796450406,0.32141580796950386,0.13343342303018046,0.5437422988910403,648,1,olympiadMath_phi3
0.4,203.25347222222223,144.0,198.34801967561958,0.3033439252862835,0.24155579620462048,0.09237465081077534,0.469420521128991,864,1,olympiadMath_phi3
0.5,156.86481481481482,99.5,168.4874769029255,0.24645769371016862,0.1767704117638587,0.06060606060606061,0.3668715846994535,1080,1,olympiadMath_phi3
