dataset_key,sigma,alpha,accuracy_mean,accuracy_std
gsm8k_qwen,0.25,0.8,0.9943720379146919,0.0019914379518924117
gsm8k_qwen,0.25,0.9,0.9967417061611374,0.002354811245776319
gsm8k_qwen,0.5,0.1,0.9147790055248619,0.0015506895157162473
gsm8k_qwen,0.5,0.2,0.9342778928677123,0.0022147278268030935
gsm8k_qwen,0.5,0.3,0.9488413396481731,0.0030552551901781924
gsm8k_qwen,0.5,0.4,0.960655090765588,0.003120721166127335
gsm8k_qwen,0.5,0.5,0.9706084280303031,0.0023363250924752547
gsm8k_qwen,0.5,0.6,0.9783599763173475,0.0018895172761672688
gsm8k_qwen,0.5,0.7,0.9829913180741909,0.0016830992985110921
gsm8k_qwen,0.5,0.8,0.9875,0.002095766937358835
gsm8k_qwen,0.5,0.9,0.9908175355450236,0.003459431592572598
gsm8k_qwen,1.0,0.1,0.8980465666929757,0.002523920606595919
gsm8k_qwen,1.0,0.2,0.9254143237644273,0.003767745382353364
gsm8k_qwen,1.0,0.3,0.9431495263870096,0.002608466097848272
gsm8k_qwen,1.0,0.4,0.9522099447513812,0.0024512951555310603
gsm8k_qwen,1.0,0.5,0.9588896780303029,0.002354843466062177
gsm8k_qwen,1.0,0.6,0.9659857904085258,0.0019370388400066357
gsm8k_qwen,1.0,0.7,0.9710142067876874,0.0018566632985316314
gsm8k_qwen,1.0,0.8,0.9768661137440757,0.001109893009194061
gsm8k_qwen,1.0,0.9,0.9829976303317535,0.001596231467453574
gsm8k_qwen,2.0,0.1,0.8762694027887399,0.0008153095952455462
gsm8k_qwen,2.0,0.2,0.8782110091743119,0.001175056625989446
gsm8k_qwen,2.0,0.3,0.8797361299052774,0.0011472141378763543
gsm8k_qwen,2.0,0.4,0.8814621152328336,0.0016725410282383809
gsm8k_qwen,2.0,0.5,0.8816761363636365,0.0011094104653276132
gsm8k_qwen,2.0,0.6,0.8819567791592657,0.0018000909401164763
gsm8k_qwen,2.0,0.7,0.8845501183898975,0.0029979123181229288
gsm8k_qwen,2.0,0.8,0.887085308056872,0.005418754374302823
gsm8k_qwen,2.0,0.9,0.9042061611374408,0.0015057186051112383
olympiadMath_phi3,0.0,0.1,0.1809670781893004,0.001145630527331284
olympiadMath_phi3,0.0,0.2,0.1989583333333333,0.001122148115142688
olympiadMath_phi3,0.0,0.3,0.2224867724867725,0.0009898564515274605
olympiadMath_phi3,0.0,0.4,0.2558641975308642,0.001431113965354265
olympiadMath_phi3,0.0,0.5,0.3007407407407408,0.0009072184232530371
olympiadMath_phi3,0.0,0.6,0.36134259259259266,0.002244296230285376
olympiadMath_phi3,0.0,0.7,0.4376543209876543,0.005486539763775029
olympiadMath_phi3,0.0,0.8,0.5382830626450116,0.01809149762377532
olympiadMath_phi3,0.0,0.9,0.6455813953488372,0.03559279343201671
olympiadMath_phi3,0.1,0.1,0.18061985596707816,0.0004417583342931554
olympiadMath_phi3,0.1,0.2,0.199537037037037,0.0007300043872420614
olympiadMath_phi3,0.1,0.3,0.22349537037037037,0.001064640213756964
olympiadMath_phi3,0.1,0.4,0.2560763888888889,0.0004226254301737412
olympiadMath_phi3,0.1,0.5,0.3008333333333334,0.0011183215119612297
olympiadMath_phi3,0.1,0.6,0.36151620370370374,0.001703002195551187
olympiadMath_phi3,0.1,0.7,0.4371141975308642,0.004569764697480244
olympiadMath_phi3,0.1,0.8,0.5358468677494199,0.01916840551771786
olympiadMath_phi3,0.1,0.9,0.6461627906976746,0.037869506377168474
olympiadMath_phi3,0.25,0.1,0.18018261316872428,0.0005118248133264615
olympiadMath_phi3,0.25,0.2,0.20041956018518517,0.0005993146752664246
olympiadMath_phi3,0.25,0.3,0.2242724867724868,0.0006517990523950608
olympiadMath_phi3,0.25,0.4,0.2568094135802469,0.0005577481595216527
olympiadMath_phi3,0.25,0.5,0.3006018518518519,0.0010336626648965936
olympiadMath_phi3,0.25,0.6,0.3599247685185185,0.0015457998135640463
olympiadMath_phi3,0.25,0.7,0.43568672839506173,0.004965623998692163
olympiadMath_phi3,0.25,0.8,0.5337006960556845,0.018938670529451602
olympiadMath_phi3,0.25,0.9,0.6393023255813954,0.03462032340780492
olympiadMath_phi3,0.5,0.1,0.1782664609053498,0.0005731039083116546
olympiadMath_phi3,0.5,0.2,0.19476273148148146,0.0010985848094079533
olympiadMath_phi3,0.5,0.3,0.21762566137566136,0.0014987128562995596
olympiadMath_phi3,0.5,0.4,0.2484375,0.0024804128568610573
olympiadMath_phi3,0.5,0.5,0.2907638888888889,0.0033675583507256197
olympiadMath_phi3,0.5,0.6,0.35228587962962965,0.003962113407878776
olympiadMath_phi3,0.5,0.7,0.43036265432098764,0.004736108345501232
olympiadMath_phi3,0.5,0.8,0.5268561484918793,0.016714598489356764
olympiadMath_phi3,0.5,0.9,0.6347674418604651,0.03289773064284882
olympiadMath_phi3,1.0,0.1,0.17440843621399177,0.0008906013216656861
olympiadMath_phi3,1.0,0.2,0.1874710648148148,0.0015951135940205775
olympiadMath_phi3,1.0,0.3,0.20307539682539683,0.002122335845201063
olympiadMath_phi3,1.0,0.4,0.2258101851851852,0.0027601733388712686
olympiadMath_phi3,1.0,0.5,0.2538888888888889,0.004246029170580593
olympiadMath_phi3,1.0,0.6,0.297337962962963,0.006784298300124208
olympiadMath_phi3,1.0,0.7,0.367824074074074,0.010759255496411808
olympiadMath_phi3,1.0,0.8,0.5106728538283063,0.013036728420825034
olympiadMath_phi3,1.0,0.9,0.6367441860465116,0.028292874537494024
olympiadMath_phi3,2.0,0.1,0.17292952674897122,0.0014967500582414022
olympiadMath_phi3,2.0,0.2,0.17905092592592592,0.001875437548969777
olympiadMath_phi3,2.0,0.3,0.18759920634920635,0.002093021481275992
olympiadMath_phi3,2.0,0.4,0.19959490740740743,0.0028797253550177744
olympiadMath_phi3,2.0,0.5,0.21659722222222225,0.0033661259904842243
olympiadMath_phi3,2.0,0.6,0.23732638888888888,0.0025499106292671482
olympiadMath_phi3,2.0,0.7,0.27118055555555554,0.0025863157040269275
olympiadMath_phi3,2.0,0.8,0.3342807424593967,0.0054555206756507855
olympiadMath_phi3,2.0,0.9,0.5253488372093023,0.02177432310235408
olympiadMath_qwen,0.0,0.1,0.46399176954732513,0.0010790214487347428
olympiadMath_qwen,0.0,0.2,0.5104166666666667,0.0013196474827536304
olympiadMath_qwen,0.0,0.3,0.5611111111111111,0.003514637633753057
olympiadMath_qwen,0.0,0.4,0.6174382716049382,0.005376929441414993
olympiadMath_qwen,0.0,0.5,0.6877777777777778,0.0041984385365758025
olympiadMath_qwen,0.0,0.6,0.774074074074074,0.007931408193986928
olympiadMath_qwen,0.0,0.7,0.8617283950617285,0.005904668663490479
olympiadMath_qwen,0.0,0.8,0.9127610208816705,0.004303303246169723
olympiadMath_qwen,0.0,0.9,0.9134883720930234,0.003720930232558156
olympiadMath_qwen,0.1,0.1,0.4598508230452675,0.0027294293943131245
olympiadMath_qwen,0.1,0.2,0.49565972222222215,0.006135521631550943
olympiadMath_qwen,0.1,0.3,0.5437665343915343,0.010359901389218067
olympiadMath_qwen,0.1,0.4,0.6044367283950617,0.013240867767168167
olympiadMath_qwen,0.1,0.5,0.6821759259259259,0.011537674243743102
olympiadMath_qwen,0.1,0.6,0.7735243055555555,0.005028066055612459
olympiadMath_qwen,0.1,0.7,0.8571373456790123,0.006424045558659675
olympiadMath_qwen,0.1,0.8,0.9130510440835267,0.006540392954909454
olympiadMath_qwen,0.1,0.9,0.9143023255813955,0.0034611339688690864
olympiadMath_qwen,0.25,0.1,0.4543081275720164,0.0034916011572726055
olympiadMath_qwen,0.25,0.2,0.483912037037037,0.005788953675664831
olympiadMath_qwen,0.25,0.3,0.5187334656084656,0.01187470945896148
olympiadMath_qwen,0.25,0.4,0.5684220679012346,0.01943632865119539
olympiadMath_qwen,0.25,0.5,0.6369212962962963,0.030606456621109564
olympiadMath_qwen,0.25,0.6,0.7335358796296296,0.0359373835135585
olympiadMath_qwen,0.25,0.7,0.8454861111111113,0.01625552047084572
olympiadMath_qwen,0.25,0.8,0.9108468677494198,0.0055320737900540215
olympiadMath_qwen,0.25,0.9,0.9159302325581397,0.004004459385516835
olympiadMath_qwen,0.5,0.1,0.44704218106995885,0.002581835680389654
olympiadMath_qwen,0.5,0.2,0.46801215277777775,0.006143260778455729
olympiadMath_qwen,0.5,0.3,0.49489087301587303,0.010014628579298957
olympiadMath_qwen,0.5,0.4,0.5314429012345679,0.014737578574234888
olympiadMath_qwen,0.5,0.5,0.5780787037037036,0.024059780300757404
olympiadMath_qwen,0.5,0.6,0.650462962962963,0.041178743610336015
olympiadMath_qwen,0.5,0.7,0.7745756172839506,0.055746200667748505
olympiadMath_qwen,0.5,0.8,0.9049303944315545,0.010045693699692536
olympiadMath_qwen,0.5,0.9,0.9154651162790698,0.0032599641322968104
olympiadMath_qwen,1.0,0.1,0.443724279835391,0.002763990417768836
olympiadMath_qwen,1.0,0.2,0.4547453703703703,0.006445243490350535
olympiadMath_qwen,1.0,0.3,0.4722883597883598,0.009152259926869834
olympiadMath_qwen,1.0,0.4,0.49344135802469136,0.014398239119504058
olympiadMath_qwen,1.0,0.5,0.5220833333333335,0.020659433678864796
olympiadMath_qwen,1.0,0.6,0.5598668981481483,0.029702696953259222
olympiadMath_qwen,1.0,0.7,0.6285493827160493,0.04355855105343866
